"""","      盲学校_学校数(校)","      盲学校_学級数(学級)","      盲学校_在学者総  数(人)","      盲学校_幼稚部(人)","      盲学校_小学部(人)","      盲学校_中学部(人)","      盲学校_高等部(人)","      盲学校_教員数(本務者)(人)","      盲学校_職員数(本務者)(人)","      聾学校_学校数(校)","      聾学校_学級数(学級)","      聾学校_在学者総  数(人)","      聾学校_幼稚部(人)","      聾学校_小学部(人)","      聾学校_中学部(人)","      聾学校_高等部(人)","      聾学校_教員数(本務者)(人)","      聾学校_職員数(本務者)(人)","      養護学校_学校数(校)","      養護学校_学級数(学級)","      養護学校_在学者総  数(人)","      養護学校_幼稚部(人)","      養護学校_小学部(人)","      養護学校_中学部(人)","      養護学校_高等部(人)","      養護学校_教員数(本務者)(人)","      養護学校_職員数(本務者)(人)"
"昭和60年(1985年)","1.0","22.0","96.0","2.0","16.0","13.0","65.0","55.0","31.0","1.0","24.0","117.0","17.0","30.0","30.0","40.0","62.0","22.0","6.0","141.0","834.0","0.0","261.0","244.0","329.0","304.0","125.0"
"平成 2年(1990年)","1.0","19.0","65.0","2.0","8.0","11.0","44.0","56.0","32.0","1.0","23.0","103.0","21.0","28.0","16.0","38.0","69.0","25.0","8.0","169.0","735.0","0.0","199.0","187.0","349.0","392.0","143.0"
"平成 7年(1995年)","1.0","20.0","53.0","6.0","6.0","4.0","37.0","59.0","30.0","1.0","23.0","71.0","7.0","24.0","21.0","19.0","66.0","28.0","9.0","222.0","753.0","0.0","249.0","172.0","332.0","553.0","169.0"
"平成12年(2000年)","1.0","25.0","60.0","7.0","11.0","5.0","37.0","68.0","30.0","1.0","25.0","68.0","10.0","13.0","16.0","29.0","68.0","29.0","10.0","266.0","836.0","0.0","248.0","214.0","374.0","643.0","183.0"
"平成17年(2005年)","1.0","22.0","57.0","1.0","14.0","10.0","32.0","63.0","31.0","1.0","20.0","49.0","17.0","8.0","6.0","18.0","62.0","27.0","10.0","297.0","1003.0","0.0","340.0","252.0","411.0","702.0","185.0"
